name,rating,reviews,industry,location
L&T Finance,3.9,(4.7k),NBFC,Mumbai +656 other locations
Havells,3.9,(4.7k),Electrical Equipment,Noida +266 other locations
Hewlett Packard Enterprise,4.0,(4.6k),IT Services & Consulting,Bengaluru +104 other locations
Aditya Birla Fashion and Retail,4.0,(4.6k),Fashion & Textile,Bengaluru +293 other locations
Intas Pharmaceuticals,4.1,(4.6k),Pharma,Ahmedabad +150 other locations
Cars24,3.4,(4.6k),Internet,Gurugram +172 other locations
R1 RCM,3.8,(4.6k),BPO,Hyderabad +49 other locations
Mahindra Logistics,3.7,(4.6k),Logistics,Mumbai +233 other locations
Hetero,3.9,(4.6k),Pharma,Hyderabad +71 other locations
Tata AIA Life Insurance,3.9,(4.6k),Insurance,Mumbai +455 other locations
Home Credit Finance,4.0,(4.6k),NBFC,Gurugram +139 other locations
Dell,3.8,(4.6k),Consumer Electronics & Appliances,Bengaluru +117 other locations
Deutsche Bank,3.8,(4.5k),Banking,Pune +42 other locations
Berger Paints,3.7,(4.5k),Chemicals,Kolkata +368 other locations
Lenskart,3.3,(4.5k),Internet,New Delhi +253 other locations
OPPO,3.9,(4.5k),Consumer Electronics & Appliances,Greater Noida +410 other locations
Hyundai Motor India Limited,4.1,(4.4k),Automobile,Chennai +292 other locations
Motilal Oswal Financial Services,3.7,(4.4k),Financial Services,Mumbai +169 other locations
TeamLease Services,3.9,(4.4k),Recruitment,Bengaluru +405 other locations
VE Commercial Vehicles,3.9,(4.4k),Automobile,Indore +181 other locations
Thermax Limited,4.2,(4.3k),Industrial Machinery,Pune +260 other locations
Macleods Pharmaceuticals,3.7,(4.3k),Pharma,Mumbai +138 other locations
Jubilant Foods Works,3.7,(4.3k),Hospitality,New Delhi +268 other locations
Carelon Global Solutions,3.9,(4.3k),IT Services & Consulting,Bengaluru +20 other locations
Aakash Educational Services,3.2,(4.2k),Education & Training,New Delhi +251 other locations
Bajaj Auto,3.8,(4.2k),Automobile,Pune +324 other locations
Jindal Steel Limited,3.9,(4.2k),Iron & Steel,Angul +175 other locations
State Street Corporation,3.5,(4.2k),Financial Services,Bengaluru +36 other locations
Hindalco Industries,4.2,(4.2k),Metals & Mining,Sambalpur +133 other locations
LG Electronics,3.8,(4.2k),Consumer Electronics & Appliances,Pune +301 other locations
Kogta Financial India Limited,4.7,(4.1k),NBFC,Jaipur +260 other locations
HDFC ERGO General Insurance,4.0,(4.1k),Insurance,Mumbai +328 other locations
Royal Enfield,4.2,(4.1k),Automobile,Chennai +374 other locations
DCB Bank,3.8,(4.1k),Banking,Mumbai +346 other locations
John Deere,4.0,(4.1k),Industrial Machinery,Pune +155 other locations
RBL Bank,3.5,(4.1k),Banking,Mumbai +294 other locations
Tata Communications,3.9,(4k),Telecom,Pune +102 other locations
Publicis Sapient,3.2,(4k),IT Services & Consulting,Bengaluru +47 other locations
Cummins,4.3,(4k),Industrial Machinery,Pune +115 other locations
Alembic Pharmaceuticals,3.9,(4k),Pharma,Vadodara +188 other locations
Bank of America,4.1,(4k),Banking,Gurugram +34 other locations
Pidilite Industries,4.2,(4k),Chemicals,Mumbai +321 other locations
Cloudnine Hospital,4.5,(3.9k),Healthcare,Bengaluru +46 other locations
Grasim Industries,4.0,(3.9k),Building Material,Bharuch +263 other locations
Aditya Birla Sun Life Insurance,4.0,(3.9k),Insurance,Mumbai +507 other locations
Oyo Rooms,3.0,(3.9k),Hospitality,Gurugram +121 other locations
American Express,4.1,(3.9k),Financial Services,Gurugram +54 other locations
Kyndryl,4.0,(3.9k),IT Services & Consulting,Bengaluru +39 other locations
PNB MetLife,3.3,(3.9k),Insurance,New Delhi +434 other locations
Subros,3.8,(3.9k),Auto Components,Noida +87 other locations
ADP Private Limited,3.8,(3.9k),Software Product,Hyderabad +41 other locations
Aditya Birla Capital,3.8,(3.9k),NBFC,Mumbai +350 other locations
KPIT Technologies,2.8,(3.8k),Software Product,Pune +43 other locations
Viatris,4.1,(3.8k),Pharma,Hyderabad +80 other locations
Escorts Kubota Limited,4.1,(3.8k),Industrial Machinery,Faridabad +159 other locations
Altruist Technologies,4.4,(3.8k),BPO,Bengaluru +43 other locations
XpressBees,4.2,(3.8k),Logistics,Pune +481 other locations
PVR INOX,3.9,(3.8k),Media & Entertainment,New Delhi +152 other locations
Maersk,3.9,(3.8k),Logistics,Chennai +50 other locations
JK Cement,4.0,(3.8k),Building Material,New Delhi +332 other locations
Reliance Communications,4.0,(3.8k),Telecom,Mumbai +466 other locations
Birlasoft,3.4,(3.8k),IT Services & Consulting,Pune +50 other locations
Synechron,3.4,(3.8k),IT Services & Consulting,Pune +33 other locations
Glenmark Pharmaceuticals,3.8,(3.7k),Pharma,Mumbai +190 other locations
Kotak Mahindra Life Insurance Company,3.5,(3.7k),Insurance,Mumbai +259 other locations
PhonePe,4.0,(3.7k),FinTech,Bengaluru +406 other locations
Bharat Electronics,4.2,(3.7k),Electronics Manufacturing,Bengaluru +87 other locations
Dabur,3.8,(3.7k),FMCG,New Delhi +320 other locations
Sodexo,4.0,(3.7k),Hospitality,Mumbai +162 other locations
Blinkit,3.8,(3.7k),Internet,Gurugram +160 other locations
Cogent E Services,3.1,(3.7k),BPO,Noida +57 other locations
Godrej & Boyce Manufacturing,3.8,(3.7k),Consumer Electronics & Appliances,Mumbai +172 other locations
Abbott,4.1,(3.7k),Pharma,Mumbai +214 other locations
Ipca Laboratories,3.8,(3.6k),Pharma,Mumbai +164 other locations
Aarti Industries,4.1,(3.6k),Agro Chemicals,Bharuch +59 other locations
Samvardhana Motherson Group,3.7,(3.6k),Auto Components,Noida +94 other locations
UNO Minda,4.0,(3.6k),Auto Components,Pune +111 other locations
ArcelorMittal Nippon Steel India,4.1,(3.6k),Iron & Steel,Surat +88 other locations
Reliance Projects & Property Management Services,4.0,(3.6k),Other,Kolkata +625 other locations
Reliance Digital,4.1,(3.6k),Retail,Mumbai +384 other locations
IGT Solutions,3.2,(3.6k),BPO,New Delhi +48 other locations
MRF Tyres,3.6,(3.6k),Auto Components,Chennai +195 other locations
Indian Oil Corporation,4.4,(3.6k),Oil & Gas,New Delhi +312 other locations
"NTT DATA, Inc.",3.9,(3.5k),IT Services & Consulting,Bengaluru +38 other locations
Johnson Controls,3.5,(3.5k),Industrial Automation,Pune +58 other locations
Alkem Laboratories,3.9,(3.5k),Pharma,Mumbai +200 other locations
[24]7.ai,3.4,(3.5k),Hospitality,Bengaluru +36 other locations
Honda Motorcycle & Scooter,4.1,(3.5k),Automobile,Gurugram +301 other locations
Vishal Mega Mart,3.7,(3.5k),Retail,New Delhi +380 other locations
Hindustan Coca Cola Beverages,4.0,(3.5k),Beverage,Bengaluru +265 other locations
UBS,3.8,(3.5k),Financial Services,Pune +19 other locations
Barclays,3.7,(3.5k),Banking,Pune +38 other locations
Bajaj General Insurance Limited,3.7,(3.4k),Insurance,Pune +308 other locations
DTDC Express,3.7,(3.4k),Logistics,New Delhi +273 other locations
IndusInd Nippon Life Insurance,3.4,(3.4k),Mumbai +494 other locations,
ABB,4.0,(3.4k),Industrial Machinery,Bengaluru +109 other locations
RSPL Group,4.0,(3.4k),FMCG,Kanpur +261 other locations
TVS Credit Services Ltd,4.2,(3.4k),NBFC,Chennai +445 other locations
Ceat Tyres,3.9,(3.4k),Auto Components,Nagpur +141 other locations
AGS Health,3.9,(3.4k),Analytics & KPO,Chennai +64 other locations
Ford Motor,4.2,(3.4k),Automobile,Chennai +130 other locations
NatWest Group,3.9,(3.4k),Banking,Gurugram +29 other locations
HARMAN,3.8,(3.3k),Consumer Electronics & Appliances,Bengaluru +42 other locations
Alstom Transportation,3.7,(3.3k),Engineering & Construction,Bengaluru +80 other locations
Croma,3.8,(3.3k),Retail,Mumbai +191 other locations
